"Classification","Year","Period","Period.Desc.","Aggregate.Level","Is.Leaf.Code","Trade.Flow.Code","Trade.Flow","Reporter.Code","Reporter","Reporter.ISO","Partner.Code","Partner","Partner.ISO","X2nd.Partner.Code","X2nd.Partner","X2nd.Partner.ISO","Customs.Proc..Code","Customs","Mode.of.Transport.Code","Mode.of.Transport","Commodity.Code","Commodity","Qty.Unit.Code","Qty.Unit","Qty","Alt.Qty.Unit.Code","Alt.Qty.Unit","Alt.Qty","Netweight..kg.","Gross.weight..kg.","Trade.Value..US..","CIF.Trade.Value..US..","FOB.Trade.Value..US..","Flag"
"HS",2017,201701,"January 2017",6,1,1,"Imports",31,"Azerbaijan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,140,NA,27363,NA,NA,0
"HS",2017,201702,"February 2017",6,1,1,"Imports",31,"Azerbaijan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,1,NA,30373,NA,NA,0
"HS",2017,201703,"March 2017",6,1,1,"Imports",31,"Azerbaijan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,1,NA,56976,NA,NA,0
"HS",2017,201704,"April 2017",6,1,1,"Imports",31,"Azerbaijan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,216,NA,4578,NA,NA,0
"HS",2017,201705,"May 2017",6,1,1,"Imports",31,"Azerbaijan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,130,NA,3783,NA,NA,0
"HS",2017,201706,"June 2017",6,1,1,"Imports",31,"Azerbaijan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,86,NA,3066,NA,NA,0
"HS",2017,201707,"July 2017",6,1,1,"Imports",31,"Azerbaijan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,97,NA,6209,NA,NA,0
"HS",2017,201708,"August 2017",6,1,1,"Imports",31,"Azerbaijan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,108,NA,6791,NA,NA,0
"HS",2017,201709,"September 2017",6,1,1,"Imports",31,"Azerbaijan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,89,NA,959,NA,NA,0
"HS",2017,201710,"October 2017",6,1,1,"Imports",31,"Azerbaijan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,67,NA,1171,NA,NA,0
"HS",2017,201711,"November 2017",6,1,1,"Imports",31,"Azerbaijan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,54,NA,28992,NA,NA,0
"HS",2017,201712,"December 2017",6,1,1,"Imports",31,"Azerbaijan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,56,NA,9200,NA,NA,0
"HS",2017,201702,"February 2017",6,1,1,"Imports",51,"Armenia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,4650,NA,10665,NA,NA,0
"HS",2017,201703,"March 2017",6,1,1,"Imports",51,"Armenia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,3364,NA,6210,NA,NA,0
"HS",2017,201704,"April 2017",6,1,1,"Imports",51,"Armenia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,12849,NA,21052,NA,NA,0
"HS",2017,201705,"May 2017",6,1,1,"Imports",51,"Armenia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,4575,NA,8489,NA,NA,0
"HS",2017,201706,"June 2017",6,1,1,"Imports",51,"Armenia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,3011,NA,5955,NA,NA,0
"HS",2017,201707,"July 2017",6,1,1,"Imports",51,"Armenia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,6625,NA,12453,NA,NA,0
"HS",2017,201708,"August 2017",6,1,1,"Imports",51,"Armenia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,3029,NA,5022,NA,NA,0
"HS",2017,201709,"September 2017",6,1,1,"Imports",51,"Armenia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,11444,NA,22032,NA,NA,0
"HS",2017,201710,"October 2017",6,1,1,"Imports",51,"Armenia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,8757,NA,27151,NA,NA,0
"HS",2017,201711,"November 2017",6,1,1,"Imports",51,"Armenia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,15831,NA,33411,NA,NA,0
"HS",2017,201712,"December 2017",6,1,1,"Imports",51,"Armenia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,30725,NA,74608,NA,NA,0
"HS",2017,201707,"July 2017",6,1,1,"Imports",97,"EU-28",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,69,NA,306,NA,NA,0
"HS",2017,201709,"September 2017",6,1,1,"Imports",97,"EU-28",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,0,NA,1,NA,NA,0
"HS",2017,201710,"October 2017",6,1,1,"Imports",97,"EU-28",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,13,NA,60,NA,NA,0
"HS",2017,201701,"January 2017",6,1,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,6899,NA,29000,NA,NA,0
"HS",2017,201702,"February 2017",6,1,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,955,NA,3000,NA,NA,0
"HS",2017,201703,"March 2017",6,1,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,5459,NA,22100,NA,NA,0
"HS",2017,201704,"April 2017",6,1,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,319,NA,900,NA,NA,0
"HS",2017,201705,"May 2017",6,1,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,45305,NA,229400,NA,NA,0
"HS",2017,201706,"June 2017",6,1,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,5924,NA,24000,NA,NA,0
"HS",2017,201707,"July 2017",6,1,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,5178,NA,20000,NA,NA,0
"HS",2017,201708,"August 2017",6,1,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,3434,NA,14400,NA,NA,0
"HS",2017,201709,"September 2017",6,1,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,22963,NA,123400,NA,NA,0
"HS",2017,201710,"October 2017",6,1,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,276,NA,1400,NA,NA,0
"HS",2017,201711,"November 2017",6,1,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,485,NA,1600,NA,NA,0
"HS",2017,201712,"December 2017",6,1,1,"Imports",112,"Belarus",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,12206,NA,51100,NA,NA,0
"HS",2017,201709,"September 2017",6,1,1,"Imports",268,"Georgia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,4,NA,33,NA,NA,0
"HS",2017,201710,"October 2017",6,1,1,"Imports",268,"Georgia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,512,NA,3852,NA,NA,0
"HS",2017,201711,"November 2017",6,1,1,"Imports",268,"Georgia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,1058,NA,8153,NA,NA,0
"HS",2017,201712,"December 2017",6,1,1,"Imports",268,"Georgia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,292,NA,2274,NA,NA,0
"HS",2017,201701,"January 2017",6,1,1,"Imports",398,"Kazakhstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,89281,NA,288029,NA,NA,0
"HS",2017,201702,"February 2017",6,1,1,"Imports",398,"Kazakhstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,48036,NA,162120,NA,NA,0
"HS",2017,201703,"March 2017",6,1,1,"Imports",398,"Kazakhstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,76955,NA,172085,NA,NA,0
"HS",2017,201704,"April 2017",6,1,1,"Imports",398,"Kazakhstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,71850,NA,412771,NA,NA,0
"HS",2017,201705,"May 2017",6,1,1,"Imports",398,"Kazakhstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,46762,NA,154002,NA,NA,0
"HS",2017,201706,"June 2017",6,1,1,"Imports",398,"Kazakhstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,102390,NA,365952,NA,NA,0
"HS",2017,201707,"July 2017",6,1,1,"Imports",398,"Kazakhstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,71588,NA,185458,NA,NA,0
"HS",2017,201708,"August 2017",6,1,1,"Imports",398,"Kazakhstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,53172,NA,178032,NA,NA,0
"HS",2017,201709,"September 2017",6,1,1,"Imports",398,"Kazakhstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,45714,NA,194802,NA,NA,0
"HS",2017,201710,"October 2017",6,1,1,"Imports",398,"Kazakhstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,85773,NA,317800,NA,NA,0
"HS",2017,201711,"November 2017",6,1,1,"Imports",398,"Kazakhstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,63339,NA,259783,NA,NA,0
"HS",2017,201712,"December 2017",6,1,1,"Imports",398,"Kazakhstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,371035,NA,834967,NA,NA,0
"HS",2017,201702,"February 2017",6,1,1,"Imports",417,"Kyrgyzstan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,5480,NA,22119,NA,NA,0
"HS",2017,201701,"January 2017",6,1,1,"Imports",496,"Mongolia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,138,NA,403,NA,NA,0
"HS",2017,201702,"February 2017",6,1,1,"Imports",496,"Mongolia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,1254,NA,4443,NA,NA,0
"HS",2017,201703,"March 2017",6,1,1,"Imports",496,"Mongolia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,1764,NA,2624,NA,NA,0
"HS",2017,201704,"April 2017",6,1,1,"Imports",496,"Mongolia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,7930,NA,17594,NA,NA,0
"HS",2017,201705,"May 2017",6,1,1,"Imports",496,"Mongolia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,10210,NA,14467,NA,NA,0
"HS",2017,201706,"June 2017",6,1,1,"Imports",496,"Mongolia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,4826,NA,9672,NA,NA,0
"HS",2017,201707,"July 2017",6,1,1,"Imports",496,"Mongolia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,5024,NA,11470,NA,NA,0
"HS",2017,201708,"August 2017",6,1,1,"Imports",496,"Mongolia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,420,NA,1425,NA,NA,0
"HS",2017,201709,"September 2017",6,1,1,"Imports",496,"Mongolia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,6533,NA,13836,NA,NA,0
"HS",2017,201710,"October 2017",6,1,1,"Imports",496,"Mongolia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,8489,NA,17911,NA,NA,0
"HS",2017,201711,"November 2017",6,1,1,"Imports",496,"Mongolia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,1307,NA,2876,NA,NA,0
"HS",2017,201712,"December 2017",6,1,1,"Imports",496,"Mongolia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,7204,NA,14544,NA,NA,0
"HS",2017,201711,"November 2017",6,1,1,"Imports",784,"United Arab Emirates",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,371,NA,1778,NA,NA,0
"HS",2017,201712,"December 2017",6,1,1,"Imports",842,"United States of America",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,40510,"Dairy produce; derived from milk, butter",NA,NA,NA,NA,NA,NA,1488,NA,6326,NA,NA,0
