"code","description","comment"
"РАЗДЕЛ A","ПРОДУКЦИЯ СЕЛЬСКОГО, ЛЕСНОГО И РЫБНОГО ХОЗЯЙСТВА",NA
"01","Продукция и услуги сельского хозяйства и охоты",NA
"01.1","Культуры однолетние",NA
"01.11","Культуры зерновые (кроме риса), зернобобовые, семена масличных культур","Эта группировка включает:- культуры зерновые, зернобобовые, а также семена и плоды масличных культур, выращиваемые в целях производства пищевых продуктов и иных целях"
"01.11.1","Пшеница",NA
"01.11.11","Пшеница твердая",NA
"01.11.11.110","Пшеница озимая твердая",NA
"01.11.11.111","Зерно озимой твердой пшеницы",NA
"01.11.11.112","Семена озимой твердой пшеницы",NA
"01.11.11.120","Пшеница яровая твердая",NA
"01.11.11.121","Зерно яровой твердой пшеницы",NA
"01.11.11.122","Семена яровой твердой пшеницы",NA
"01.11.11.130","Зерноотходы твердой пшеницы",NA
"01.11.12","Пшеница, кроме твердой пшеницы",NA
"01.11.12.110","Пшеница озимая мягкая",NA
"01.11.12.111","Зерно озимой мягкой пшеницы",NA
"01.11.12.112","Семена озимой мягкой пшеницы",NA
"01.11.12.120","Пшеница яровая мягкая",NA
"01.11.12.121","Зерно яровой мягкой пшеницы",NA
"01.11.12.122","Семена яровой мягкой пшеницы",NA
"01.11.12.130","Зерноотходы мягкой пшеницы",NA
"01.11.12.140","Меслин (смесь пшеницы и ржи)",NA
"01.11.12.141","Зерно меслина",NA
"01.11.12.142","Семена меслина",NA
"01.11.12.143","Зерноотходы меслина",NA
"01.11.2","Кукуруза",NA
"01.11.20","Кукуруза","Эта группировка не включает:- кукурузу кормовую, см. 01.19.10"
"01.11.20.110","Кукуруза лопающаяся (рисовая)",NA
"01.11.20.111","Зерно лопающейся (рисовой) кукурузы",NA
"01.11.20.112","Семена лопающейся (рисовой) кукурузы",NA
"01.11.20.113","Початки лопающейся (рисовой) кукурузы",NA
"01.11.20.114","Початки обрушенные лопающейся (рисовой) кукурузы",NA
"01.11.20.120","Кукуруза кремнистая",NA
"01.11.20.121","Зерно кремнистой кукурузы",NA
"01.11.20.122","Семена кремнистой кукурузы",NA
"01.11.20.123","Початки кремнистой кукурузы",NA
"01.11.20.124","Початки обрушенные кремнистой кукурузы",NA
"01.11.20.130","Кукуруза зубовидная и кукуруза прочих сортов, кроме сахарной",NA
"01.11.20.131","Зерно зубовидной кукурузы и кукурузы прочих сортов",NA
"01.11.20.132","Семена зубовидной кукурузы и кукурузы прочих сортов",NA
"01.11.20.133","Початки зубовидной кукурузы и кукурузы прочих сортов",NA
"01.11.20.134","Початки обрушенные зубовидной кукурузы и кукурузы прочих сортов",NA
"01.11.20.140","Кукуруза разнотипная (смесь)",NA
"01.11.20.141","Зерно разнотипной кукурузы",NA
"01.11.20.142","Семена разнотипной кукурузы",NA
"01.11.20.143","Початки разнотипной кукурузы",NA
"01.11.20.150","Зерноотходы кукурузы",NA
"01.11.3","Ячмень, рожь и овес",NA
"01.11.31","Ячмень",NA
"01.11.31.110","Ячмень озимый",NA
"01.11.31.111","Зерно озимого ячменя",NA
"01.11.31.112","Семена озимого ячменя",NA
"01.11.31.120","Ячмень яровой",NA
"01.11.31.121","Зерно ярового ячменя",NA
"01.11.31.122","Семена ярового ячменя",NA
"01.11.31.130","Зерноотходы ячменя",NA
"01.11.32","Рожь",NA
"01.11.32.110","Рожь озимая",NA
"01.11.32.111","Зерно озимой ржи",NA
"01.11.32.112","Семена озимой ржи",NA
"01.11.32.120","Рожь яровая",NA
"01.11.32.121","Зерно яровой ржи",NA
"01.11.32.122","Семена яровой ржи",NA
"01.11.32.130","Зерноотходы ржи",NA
"01.11.33","Овес",NA
"01.11.33.110","Зерно овса",NA
"01.11.33.111","Семена овса",NA
"01.11.33.112","Зерноотходы овса",NA
"01.11.4","Сорго, просо и прочие зерновые культуры",NA
"01.11.41","Сорго",NA
"01.11.41.110","Зерно сорго",NA
"01.11.41.120","Семена сорго",NA
"01.11.41.130","Зерноотходы сорго",NA
"01.11.42","Просо",NA
"01.11.42.110","Зерно проса",NA
"01.11.42.120","Семена проса",NA
"01.11.42.130","Зерноотходы проса",NA
"01.11.49","Культуры зерновые прочие",NA
"01.11.49.110","Гречиха",NA
"01.11.49.111","Зерно гречихи",NA
"01.11.49.112","Семена гречихи",NA
"01.11.49.113","Зерноотходы гречихи",NA
"01.11.49.120","Тритикале (пшенично-ржаной гибрид)",NA
"01.11.49.121","Зерно ярового тритикале",NA
"01.11.49.122","Семена ярового тритикале",NA
"01.11.49.123","Зерно озимого тритикале",NA
"01.11.49.124","Семена озимого тритикале",NA
"01.11.49.125","Зерноотходы тритикале",NA
"01.11.49.130","Чумиза",NA
"01.11.49.131","Зерно чумизы",NA
"01.11.49.132","Семена чумизы",NA
"01.11.49.133","Зерноотходы чумизы",NA
"01.11.49.140","Вика и смеси виковые на зерно",NA
"01.11.49.150","Люпин кормовой сладкий на зерно",NA
"01.11.49.190","Культуры зерновые прочие, не включенные в другие группировки",NA
"01.11.49.191","Зерно зерновых культур, не включенных в другие группировки",NA
"01.11.49.192","Семена зерновых культур, не включенных в другие группировки",NA
"01.11.49.193","Зерноотходы зерновых культур, не включенных в другие группировки",NA
"01.11.5","Солома и мякина зерновых культур",NA
"01.11.50","Солома и мякина зерновых культур",NA
"01.11.50.000","Солома и мякина зерновых культур",NA
"01.11.6","Овощи бобовые зеленые",NA
"01.11.61","Фасоль овощная",NA
"01.11.61.000","Фасоль овощная",NA
"01.11.62","Горох овощной",NA
"01.11.62.000","Горох овощной",NA
"01.11.69","Овощи бобовые зеленые прочие",NA
"01.11.69.000","Овощи бобовые зеленые прочие",NA
"01.11.7","Овощи бобовые сушеные (культуры зернобобовые)",NA
"01.11.71","Фасоль сушеная",NA
"01.11.71.110","Зерно фасоли",NA
"01.11.71.120","Семена фасоли",NA
"01.11.72","Бобы кормовые сушеные",NA
"01.11.72.110","Зерно кормовых бобов",NA
"01.11.72.120","Семена кормовых бобов",NA
"01.11.73","Нут (бараний горох) сушеный",NA
"01.11.73.110","Зерно нута",NA
"01.11.73.120","Семена нута",NA
"01.11.74","Чечевица сушеная",NA
"01.11.74.110","Зерно чечевицы",NA
"01.11.74.120","Семена чечевицы",NA
"01.11.75","Горох сушеный",NA
"01.11.75.110","Зерно гороха",NA
"01.11.75.120","Семена гороха",NA
"01.11.79","Культуры зернобобовые (овощи бобовые сушеные), не включенные в другие группировки",NA
"01.11.79.110","Чина сушеная",NA
"01.11.79.111","Зерно чины",NA
"01.11.79.112","Семена чины",NA
"01.11.79.120","Маш сушеный",NA
"01.11.79.121","Зерно маша",NA
"01.11.79.122","Семена маша",NA
