id;regname.ru;pop.2020
Belgorod;Белгородская область;1547532
Bryansk;Брянская область;1192570
Vladimir;Владимирская область;1358538
Voronezh;Воронежская область;2323657
Ivanovo;Ивановская область;997196
Kaluga;Калужская область;1000070
Kostroma;Костромская область;633392
Kursk;Курская область;1103059
Lipetsk;Липецкая область;1139492
Moskva;Москва;12692466
Moscow City;Московская область;7687647
Orel;Орловская область;733682
Ryazan;Рязанская область;1108924
Smolensk;Смоленская область;934747
Tambov;Тамбовская область;1006962
Tver';Тверская область;1260345
Tula;Тульская область;1466025
Yaroslavl';Ярославская область;1253189
