"Наименование источника образования отходов";"Численность населения МО на 01.01.2016 г.";"long";"lat"
"МО город Салехард";"48756";66,6016666666667;66,53
"МО город Лабытнанги";"26331";66,4180555555556;66,6569444444444
"МО город Новый Уренгой";"111163";76,6330555555555;66,0830555555555
"МО город Ноябрьск";"106631";75,4505555555556;63,1991666666667
"МО город Муравленко";"32649";74,5227777777778;63,7897222222222
"МО город Губкинский";"27346";76,5025;64,4338888888889
"МО село Красноселькуп";"3972";82,4575;65,705
"МО Толькинское";"1906";82,0505555555555;64,0080555555556
"МО село Ратта";"142";83,8666666666667;63,5833333333333
"МО город Надым";"44940";72,5347222222222;65,5372222222222
"МО посёлок Заполярный";"948";73,7333333333333;66,45
"МО посёлок Пангоды";"10597";74,5;65,85
"МО Кутопьюганское";"1189";70,3833333333333;66,3333333333333
"МО посёлок Лонгъюган";"1335";70,9488888888889;64,7822222222222
"МО село Ныда";"1854";72,95;66,6166666666667
"МО посёлок Правохеттинский";"1164";73,5333333333333;65,45
"МО посёлок Приозёрный";"1192";71,0833333333333;64,2833333333333
"МО посёлок Ягельный";"867";72,45;64,7166666666667
"МО Аксарковское";"4918";67,8;66,55
"МО село Катравож";"763";66,0833333333333;66,3333333333333
"МО посёлок Харп";"6193";65,8080555555556;66,8013888888889
"МО Белоярское";"3557";68,1666666666667;66,8666666666667
"МО город Тарко-Сале";"21448";77,7744444444444;64,9158333333333
"МО посёлок Уренгой";"10190";78,3666666666667;65,9666666666667
"МО Пуровское";"2717";77,7833333333333;65,3166666666667
"МО посёлок Пурпе";"9483";76,6780555555556;64,4880555555556
"МО село Самбург";"1996";78,2333333333333;67
"МО село Халясавэй";"842";78,3333333333333;63,3833333333333
"МО посёлок Ханымей";"4461";75,9363888888889;63,7225
"МО деревня Харампур";"760";78,1166666666667;64,3166666666667
"МО посёлок Тазовский";"7518";78,7166666666667;67,4666666666667
"МО село Антипаюта";"2657";76,8666666666667;69,1
"МО село Газ-Сале";"1789";79,0038888888889;67,3633333333333
"МО село Гыда";"3532";78,5;70,9
"МО село Находка";"1273";77,55;67,7333333333333
"МО Азовское";"357";65,0619444444444;64,8927777777778
"МО Горковское";"1851";65,2813888888889;65,0541666666667
"МО Лопхаринское";"530";65,75;64,9833333333333
"МО Мужевское";"4262";64,6666666666667;65,3666666666667
"МО Овгортское";"1318";63,9833333333333;64,8333333333333
"МО село Питляр";"487";65,9166666666667;65,8333333333333
"МО Шурышкарское";"813";65,3497222222222;65,9041666666667
"МО Мыс-Каменское";"1423";73,5833333333333;68,4666666666667
"МО село Новый Порт";"1745";72,8955555555556;67,6927777777778
"МО село Панаевск";"2410";70,1;66,75
"МО село Салемал";"924";69,1575;66,7602777777778
"МО село Сеяха";"2674";72,5166666666667;70,1666666666667
"МО Яр-Салинское";"7339";70,8333333333333;66,8666666666667
"Береговое НГКМ";"-";79,535;67,285
"Бованенковское НГКМ";"-";68,8333333333333;70,8333333333333
"Восточно-Медвежье месторождение";"-";74,1183333333333;67,1183333333333
"Восточно-Мессояхское месторождение";"-";80,1666666666667;68,8333333333333
"Восточно-Падинский ЛУ УВ сырья";"-";74,8994444444445;66,3711111111111
"Западно-Тамбейское месторождение";"-";70,5505555555555;71,3219444444444
"Малыгинское месторождение";"-";70,9758333333333;72,4166666666667
"Находкинское месторождение";"-";78;68,1425
"Новозаполярный комплекс";"-";79,5461111111111;66,7505555555556
"Новопортовское НГКМ";"-";72,0833333333333;67,1425
"Падинский ЛУ УВ сырья";"-";73,6488888888889;66,5094444444444
"Пырейское месторождение";"-";77,9955555555556;65,7577777777778
"Пякяхинское месторождение";"-";80,4516666666667;68,4166666666667
"Северо-Тамбейское месторождение";"-";71,4688888888889;71,46
"Соимлорский ЛУ УВ сырья";"-";74,3708333333333;63,6894444444444
"Тасийское месторождение";"-";72,3683333333333;72,6183333333333
"Хадырьяхинское месторождение";"-";79,8925;65,5083333333333
"Юбилейное НГКМ";"-";76,25;66
"Южно-Парусовое месторождение";"-";74,7955555555556;68,1213888888889
"Южно-Песцовое месторождение";"-";75,3319444444444;66,51
"Южно-Тамбейское ГКМ";"-";72;71,4166666666667
"Южно-Мессояхское месторождение";"-";79,5833333333333;68,2258333333333
"Ямбургское месторождение";"-";76;68
"Ямсовейское месторождение";"-";75,8333333333333;65,8333333333333
"Ярудейское месторождение";"-";72,8730555555556;65,9047222222222
